Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P12002_101_R2	21.04059241487323	35.0	151.0	9.090909090909092	44067946.0
P12002_102_R2	21.084163335662467	35.0	151.0	9.090909090909092	30685696.0
P12002_103_R2	18.330847913895383	35.0	151.0	0.0	27122846.0
P12002_104_R2	19.80752782998782	35.0	151.0	9.090909090909092	29908190.0
P12002_105_R2	19.596405846489134	35.0	151.0	0.0	32746395.0
P12002_106_R2	19.244003729548027	35.0	151.0	9.090909090909092	23841113.0
P12002_107_R2	19.897737632416522	35.0	151.0	0.0	31481009.0
P12002_108_R2	17.74292913040378	35.0	151.0	0.0	26055453.0
P12002_109_R2	23.537392058178924	37.0	151.0	9.090909090909092	35905988.0
P12002_110_R2	21.40554334877713	35.0	151.0	9.090909090909092	33278178.0
P12002_111_R2	18.795549310979098	35.0	151.0	0.0	26927998.0
P12002_112_R2	18.76096627040434	35.0	151.0	9.090909090909092	27186582.0
P12002_113_R2	18.776220165279895	35.0	151.0	0.0	34388936.0
P12002_114_R2	20.624976997864024	35.0	151.0	9.090909090909092	33174909.0
P12002_115_R2	19.26035692546381	35.0	151.0	0.0	34636686.0
P12002_116_R2	20.120959233542052	35.0	151.0	0.0	32996815.0
P12002_117_R2	20.82434520355156	35.0	151.0	9.090909090909092	31090789.0
P12002_118_R2	22.422675759681397	36.0	151.0	9.090909090909092	36770023.0
P12002_119_R2	19.114929768821966	35.0	151.0	0.0	32602624.0
P12002_120_R2	17.679824659848975	35.0	151.0	0.0	27084178.0
P12002_121_R2	19.128304012096294	35.0	151.0	9.090909090909092	27782987.0
P12002_122_R2	20.488598199458693	35.0	151.0	9.090909090909092	34813800.0
P12002_123_R2	19.94217366689371	35.0	151.0	0.0	35585602.0
P12002_124_R2	19.932346987590876	35.0	151.0	0.0	38283687.0
P12002_125_R2	21.940013229837618	36.0	151.0	9.090909090909092	35407764.0
P12002_126_R2	19.531902592985915	35.0	151.0	9.090909090909092	23247686.0
P12002_127_R2	17.556926467274067	35.0	151.0	0.0	26713034.0
P12002_128_R2	19.704234947083734	35.0	151.0	0.0	31551154.0
P12002_129_R2	18.42793451027886	35.0	151.0	0.0	24942932.0
P12002_130_R2	19.10169944451762	35.0	151.0	9.090909090909092	28041455.0
P12002_131_R2	18.807964710469648	35.0	151.0	0.0	36252689.0
P12002_132_R2	18.833382848241286	35.0	151.0	0.0	44936369.0
P12002_133_R2	22.668393246218358	36.0	151.0	9.090909090909092	53617317.0
P12002_134_R2	19.614339097864345	35.0	151.0	9.090909090909092	34824756.0
P12002_135_R2	18.63697138616081	35.0	151.0	0.0	28773264.0
P12002_136_R2	18.842568793784878	35.0	151.0	0.0	30168639.0
P12002_137_R2	17.950981080725583	35.0	151.0	0.0	33063974.0
P12002_138_R2	20.710525548500442	35.0	151.0	0.0	38455621.0
P12002_139_R2	19.652864045515457	35.0	151.0	0.0	41251710.0
P12002_140_R2	18.44928891159269	35.0	151.0	0.0	35453033.0
P12002_141_R2	21.365310299290826	36.0	151.0	9.090909090909092	28395725.0
P12002_142_R2	21.76482101518772	36.0	151.0	9.090909090909092	29345188.0
