Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P12002_101_R1	23.214988843922725	35.0	151.0	9.090909090909092	44067946.0
P12002_102_R1	21.171061383389414	35.0	151.0	9.090909090909092	30685696.0
P12002_103_R1	19.018844914076297	35.0	151.0	0.0	27122846.0
P12002_104_R1	19.478644867572385	35.0	151.0	9.090909090909092	29908190.0
P12002_105_R1	19.79121448452331	35.0	151.0	0.0	32746395.0
P12002_106_R1	20.485045160461794	35.0	151.0	9.090909090909092	23841113.0
P12002_107_R1	19.146688205910635	35.0	151.0	0.0	31481009.0
P12002_108_R1	19.07114627475937	35.0	151.0	0.0	26055453.0
P12002_109_R1	24.23874640775577	37.0	151.0	9.090909090909092	35905988.0
P12002_110_R1	21.900705361308354	35.0	151.0	9.090909090909092	33278178.0
P12002_111_R1	20.16855588573327	35.0	151.0	0.0	26927998.0
P12002_112_R1	19.503505698632765	35.0	151.0	9.090909090909092	27186582.0
P12002_113_R1	21.83841381874899	35.0	151.0	0.0	34388936.0
P12002_114_R1	21.484381994793992	35.0	151.0	9.090909090909092	33174909.0
P12002_115_R1	20.313761001814356	35.0	151.0	0.0	34636686.0
P12002_116_R1	19.502798304306367	35.0	151.0	0.0	32996815.0
P12002_117_R1	21.98428453638455	35.0	151.0	9.090909090909092	31090789.0
P12002_118_R1	23.61961899879074	36.0	151.0	9.090909090909092	36770023.0
P12002_119_R1	20.611666549458334	35.0	151.0	0.0	32602624.0
P12002_120_R1	19.037104692784453	35.0	151.0	0.0	27084178.0
P12002_121_R1	20.117474366250548	35.0	151.0	9.090909090909092	27782987.0
P12002_122_R1	21.32982696819154	35.0	151.0	9.090909090909092	34813800.0
P12002_123_R1	20.84754537801811	35.0	151.0	0.0	35585602.0
P12002_124_R1	21.832572790313748	35.0	151.0	0.0	38283687.0
P12002_125_R1	22.63424095833247	36.0	151.0	9.090909090909092	35407764.0
P12002_126_R1	20.42099797971278	35.0	151.0	9.090909090909092	23247686.0
P12002_127_R1	18.97975792111191	35.0	151.0	0.0	26713034.0
P12002_128_R1	20.27598255455449	35.0	151.0	0.0	31551154.0
P12002_129_R1	19.157800128012937	35.0	151.0	0.0	24942932.0
P12002_130_R1	20.54676800148492	35.0	151.0	9.090909090909092	28041455.0
P12002_131_R1	20.51272185355522	35.0	151.0	0.0	36252689.0
P12002_132_R1	21.37490107443297	35.0	151.0	0.0	44936369.0
P12002_133_R1	23.921573915587928	36.0	151.0	9.090909090909092	53617317.0
P12002_134_R1	21.58204044050936	35.0	151.0	9.090909090909092	34824756.0
P12002_135_R1	19.47121891154356	35.0	151.0	0.0	28773264.0
P12002_136_R1	20.41213363087128	35.0	151.0	0.0	30168639.0
P12002_137_R1	19.270980591985705	35.0	151.0	0.0	33063974.0
P12002_138_R1	21.71399409553277	35.0	151.0	0.0	38455621.0
P12002_139_R1	20.753790823699504	35.0	151.0	0.0	41251710.0
P12002_140_R1	21.021122454352607	35.0	151.0	0.0	35453033.0
P12002_141_R1	21.44556845283806	36.0	151.0	9.090909090909092	28395725.0
P12002_142_R1	22.23335614753381	36.0	151.0	9.090909090909092	29345188.0
P12002_143_R1	19.645557024351717	35.0	151.0	0.0	35128010.0
P12002_144_R1	21.439228068895517	35.0	151.0	0.0	38403980.0
P12002_145_R1	21.463595373672618	35.0	151.0	9.090909090909092	37840146.0
P12002_146_R1	21.072126063747348	35.0	151.0	9.090909090909092	36901711.0
P12002_147_R1	21.16290674832068	35.0	151.0	0.0	52925671.0
P12002_148_R1	21.7866156822966	35.0	151.0	0.0	40353401.0
P12002_149_R1	22.29702785311241	35.0	151.0	9.090909090909092	45391708.0
P12002_150_R1	21.642315439098397	35.0	151.0	9.090909090909092	38190020.0
P12002_151_R1	20.93008448641588	35.0	151.0	0.0	34639765.0
P12002_152_R1	21.28992118113976	35.0	151.0	9.090909090909092	34715378.0
P12002_153_R1	21.4112084781311	35.0	151.0	0.0	40245517.0
P12002_154_R1	22.724710478240723	35.0	151.0	9.090909090909092	40423227.0
P12002_155_R1	20.424178442978743	35.0	151.0	0.0	41973198.0
P12002_156_R1	19.996972537662018	35.0	151.0	0.0	31487200.0
P12002_157_R1	22.3096049353194	35.0	151.0	9.090909090909092	46528612.0
P12002_158_R1	23.48647222433516	36.0	151.0	9.090909090909092	38676460.0
P12002_159_R1	19.890489890280733	35.0	151.0	0.0	36084694.0
P12002_160_R1	22.52303468954746	35.0	151.0	9.090909090909092	38836512.0
P12002_161_R1	21.328602431940453	35.0	151.0	0.0	33995076.0
P12002_162_R1	21.62927246830361	35.0	151.0	9.090909090909092	35656440.0
P12002_163_R1	19.47614930706625	35.0	151.0	0.0	31965376.0
P12002_164_R1	21.164754902056146	35.0	151.0	0.0	39957803.0
P12002_165_R1	20.296658569629628	35.0	151.0	0.0	31863405.0
P12002_166_R1	21.20239880682567	36.0	151.0	9.090909090909092	29716753.0
P12002_167_R1	19.02868666243019	35.0	151.0	0.0	31822144.0
P12002_168_R1	21.389444070414626	35.0	151.0	0.0	38536240.0
P12002_169_R1	20.183376067507055	35.0	151.0	9.090909090909092	26418819.0
P12002_170_R1	21.073265706900088	35.0	151.0	9.090909090909092	33013367.0
P12002_171_R1	20.06975804074571	35.0	151.0	0.0	38267413.0
P12002_172_R1	20.81252666761135	35.0	151.0	9.090909090909092	32863178.0
P12002_173_R1	22.43562835582705	35.0	151.0	9.090909090909092	46816268.0
P12002_174_R1	22.642804836415436	35.0	151.0	9.090909090909092	45218481.0
P12002_175_R1	21.788498220364843	35.0	151.0	0.0	44374734.0
P12002_176_R1	21.639756051422623	35.0	151.0	0.0	55888579.0
P12002_177_R1	21.19703083488973	35.0	151.0	0.0	35286554.0
P12002_178_R1	22.630204870250225	35.0	151.0	9.090909090909092	48481249.0
P12002_179_R1	22.87199090645224	35.0	151.0	0.0	48766422.0
P12002_180_R1	22.047335010132926	35.0	151.0	0.0	41084698.0
P12002_181_R1	23.002091039920685	36.0	151.0	9.090909090909092	53482323.0
P12002_182_R1	20.98587890981848	35.0	151.0	9.090909090909092	49469088.0
P12002_183_R1	21.406296768942653	35.0	151.0	0.0	48440227.0
P12002_184_R1	20.89778373695195	35.0	151.0	0.0	45256450.0
P12002_185_R1	21.98359790333531	35.0	151.0	0.0	53491404.0
P12002_186_R1	21.584959838156735	35.0	151.0	9.090909090909092	48571854.0
P12002_187_R1	21.206981466764745	35.0	151.0	0.0	52294972.0
P12002_188_R1	21.33875427565154	35.0	151.0	0.0	49606084.0
P12002_189_R1	22.019982387314755	35.0	151.0	9.090909090909092	52120534.0
P12002_190_R1	23.39072891282848	35.0	151.0	9.090909090909092	39423580.0
P12002_191_R1	23.566519569623495	35.0	151.0	0.0	49531443.0
P12002_192_R1	22.216721416866193	35.0	151.0	0.0	48940274.0
P12002_193_R1	22.437366167360935	35.0	151.0	0.0	47568884.0
P12002_194_R1	22.17547737872205	35.0	151.0	9.090909090909092	42629880.0
P12002_195_R1	21.682568948628628	35.0	151.0	0.0	40427735.0
P12002_196_R1	21.316463529214076	35.0	151.0	0.0	45988057.0
P12002_201_R1	24.01329383314544	35.0	151.0	9.090909090909092	40427506.0
P12002_202_R1	24.176645184158303	35.0	151.0	9.090909090909092	46650539.0
P12002_203_R1	21.755973854892858	35.0	151.0	0.0	47733705.0
P12002_204_R1	21.438835417714657	35.0	151.0	0.0	43247433.0
