Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P12002_101_R1	P12002_101_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44067946.0	0.0	151.0	35.0	76.78501115607727	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
P12002_102_R1	P12002_102_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30685696.0	0.0	151.0	35.0	78.82893861661059	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
P12002_103_R1	P12002_103_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27122846.0	0.0	151.0	35.0	80.9811550859237	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_104_R1	P12002_104_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29908190.0	0.0	151.0	35.0	80.52135513242762	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
P12002_105_R1	P12002_105_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32746395.0	0.0	151.0	35.0	80.20878551547669	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_106_R1	P12002_106_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23841113.0	0.0	151.0	35.0	79.5149548395382	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
P12002_107_R1	P12002_107_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31481009.0	0.0	151.0	35.0	80.85331179408936	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_108_R1	P12002_108_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26055453.0	0.0	151.0	35.0	80.92885372524063	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_109_R1	P12002_109_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35905988.0	0.0	151.0	37.0	75.76125359224423	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass
P12002_110_R1	P12002_110_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33278178.0	0.0	151.0	35.0	78.09929463869165	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
P12002_111_R1	P12002_111_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26927998.0	0.0	151.0	35.0	79.83144411426673	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_112_R1	P12002_112_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27186582.0	0.0	151.0	35.0	80.49649430136724	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
P12002_113_R1	P12002_113_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34388936.0	0.0	151.0	35.0	78.16158618125101	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_114_R1	P12002_114_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33174909.0	0.0	151.0	35.0	78.51561800520601	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
P12002_115_R1	P12002_115_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34636686.0	0.0	151.0	35.0	79.68623899818564	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_116_R1	P12002_116_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32996815.0	0.0	151.0	35.0	80.49720169569363	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_117_R1	P12002_117_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62181578.0	0.0	151.0	35.0	39.00908654780213	151.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	fail	pass
